epoch,train_loss,train_acc,val_loss,val_acc
1,0.458887,0.882974,0.07426,0.981029
2,0.082732,0.976509,0.047969,0.985656
3,0.050348,0.985345,0.064715,0.981557
4,0.023406,0.994397,0.080352,0.97541
5,0.016455,0.996336,0.050862,0.98716
6,0.033214,0.991595,0.050347,0.984086
7,0.009871,0.99806,0.043982,0.985143
8,0.006815,0.998922,0.058595,0.985623
9,0.015235,0.993966,0.064392,0.981029
10,0.016466,0.994397,0.055468,0.984631
11,0.012658,0.996336,0.074846,0.983607
12,0.010528,0.997198,0.059731,0.982004
13,0.008697,0.997629,0.080313,0.97893
14,0.013768,0.995905,0.05099,0.983094
15,0.002011,0.999569,0.040389,0.987193
16,0.003143,0.999353,0.046276,0.986152
17,0.00779,0.996983,0.038594,0.988217
18,0.016231,0.993534,0.082709,0.977459
19,0.012174,0.996121,0.08703,0.974369
20,0.012219,0.997629,0.058991,0.984102
21,0.014483,0.995259,0.051816,0.985639
22,0.006791,0.998276,0.060266,0.98207
23,0.006478,0.99806,0.042973,0.989754
24,0.003278,0.999569,0.053902,0.983061
25,0.000887,1.0,0.040019,0.989754
26,0.005152,0.998276,0.049269,0.986152
27,0.005797,0.998491,0.060666,0.984086
28,0.004851,0.998707,0.055193,0.985143
29,0.001304,0.999784,0.037721,0.991291
30,0.000678,0.999784,0.041067,0.990266
