epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,199.083,0.74663,3.3892,1.23693,0.52123,0.26434,0.39838,0.3448,0.62389,2.59225,1.11482,0.000904671,0.000301557,0.000904671,0.000301557,0.000904671,0.000301557,0.000904671,0.000301557
2,320.003,0.72193,2.42658,1.21136,0.76612,0.74994,0.81651,0.71525,0.61668,1.14527,1.09649,0.00177776,0.000592587,0.00177776,0.000592587,0.00177776,0.000592587,0.00177776,0.000592587
3,437.23,0.68433,1.5245,1.16998,0.89342,0.85454,0.92384,0.81148,0.60216,0.84479,1.08108,0.00261485,0.000871618,0.00261485,0.000871618,0.00261485,0.000871618,0.00261485,0.000871618
4,553.85,0.6466,1.29183,1.13981,0.88836,0.86535,0.93898,0.83099,0.58986,0.75792,1.06127,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
5,668.958,0.61688,1.1348,1.11933,0.92905,0.86977,0.9482,0.84054,0.56628,0.69319,1.0425,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
6,785.517,0.59937,1.04714,1.10563,0.9135,0.90066,0.95438,0.84976,0.571,0.62924,1.04811,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
7,901.79,0.59415,0.98489,1.10027,0.91029,0.90779,0.95426,0.85113,0.55646,0.59404,1.04068,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011
8,1018.15,0.58788,0.92972,1.08765,0.92923,0.89915,0.96049,0.86389,0.54825,0.5763,1.02763,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013
9,1135.18,0.57786,0.87334,1.08322,0.93552,0.91953,0.96654,0.86669,0.56051,0.53309,1.03486,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014
10,1250.99,0.56373,0.81841,1.07547,0.94632,0.91629,0.96562,0.86373,0.56039,0.52828,1.03381,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016
11,1366.32,0.56428,0.79647,1.07307,0.93012,0.90852,0.96308,0.86086,0.55449,0.52541,1.03246,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
12,1481.38,0.54506,0.75112,1.05846,0.94686,0.89899,0.96466,0.86326,0.55048,0.51756,1.02661,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102
13,1596.36,0.54719,0.73812,1.06866,0.93598,0.91102,0.96155,0.86019,0.55475,0.51876,1.02872,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022
